"","SVL","FIXTL","TAL","TLL"
"amcris",192.39,312.4,109.49,146.48
"anlon",67.82,205.47,27.77,42.84
"anacut",62.11577609,120.7835378,27.74345621,44.34500165
"anaen",70.10541235,127.8681941,29.51799272,44.47823641
"anahl",57.643,91,27.643,46.786
"analin",55.9,92.25,23.7,34.8
"analli",77.3,160.667,28.8,45.3
"anallog",54.75,86.429,26.313,44.25
"analut",35.333,92,12.667,27.083
"anang",41.5,55,13.625,20.875
"anarg",52.6,108.9,26.4,42.85
"anbah",43.933,111.444,17.933,36.2
"anbarh",156.333,275,67.667,105.333
"anbart",73.417,153,36.25,61.167
"anbima",87.97036532,159.3335813,39.92489244,64.0074831
"anbrem",47,65,23,35
"anbrun",68.4,133.5,25.15,40.75
"ancent",36.125,75,14,20.25
"anchlo",68.667,133.833,28.222,43.889
"anchri",46.615,84.6,24.769,38.769
"ancoel",71.667,128,30.333,47.667
"ancons",68.92369341,126.5958843,31.0624595,50.45087043
"ancrist",63.8,114.6,32.114,53.771
"ancuv",133.5,284.5,61.1,100.6
"ancyb",66.933,124.4,32.2,54.8
"andist",51.267,71.5,25.933,38.333
"aneque",156,301,64.833,98.5
"anever",62.286,109.6,30.857,47.893
"anferr",91.83559798,154.3156222,42.69150695,67.15477299
"angarm",107.9,216.7,47.4,78.8
"angrah",61.071,108.3,28.385,45.429
"angris",106.591098,235.5680897,49.7992538,86.05615085
"angund",65.114,122.2,33.206,57.647
"anhomo",56.8,86.6,26.1,41.7
"aninsol",41.8,53.2,13.2,23.4
"anisol",39,48,14.5,19.5
"anjub",55.64285714,90,25.07142857,40.07142857
"ankrug",48.6,128.3,21.12,38.88
"anleach",89.2106119,157.7481857,39.72576621,63.8157484
"anline",56.545,107.6,26.714,46.048
"anlong",73.6997937,152.7801561,26.28504116,45.55862691
"anlontib",69.8,146.6,37.2,61
"anloy",40,51,17.75,24.75
"anluce",73.92122506,134.96291,32.88445323,51.8315999
"anlucs",65.571,133.667,33.643,52.429
"anluteo",183,331,72,112
"anmarm",55.563,113.25,27.688,46.188
"anmayn",71.105,142.286,27.842,44.474
