species_complete,vocal_learning,log_adult_weight,log_weaning_days,female_maturity_log,male_maturity_log,max_longevity,average_maturity_log,avg_maturity_per_longevity
echinops telfairi,no_info,5.19295685089021,3.367295829986474,5.8998973535824915,5.8998973535824915,2.9444389791664403,5.8998973535824915,2.0037424430689783
geogale aurita,no_info,1.9021075263969205,3.6109179126442243,,,,,
hemicentetes semispinosus,no_info,5.19295685089021,3.044522437723423,3.5553480614894135,,0.9932517730102834,3.5553480614894135,3.579503362691308
microgale dobsoni,no_info,3.632309102625542,3.367295829986474,6.505784060128229,6.505784060128229,1.7227665977411035,6.505784060128229,3.776358369531097
microgale talazaci,no_info,3.912023005428146,3.367295829986474,6.459904454377535,6.459904454377535,1.7578579175523736,6.459904454377535,3.6748729176998847
setifer setosus,no_info,5.41610040220442,3.1780538303479458,5.288267030694535,5.552959584921617,2.6461747973841225,5.420613307808076,2.048471368243181
tenrec ecaudatus,no_info,6.802394763324311,3.295836866004329,5.204006687076795,,2.163323025660538,5.204006687076795,2.4055615482980546
antilocapra americana,no_info,10.73856822898474,4.51085950651685,6.304448802421981,6.304448802421981,2.833213344056216,6.304448802421981,2.225193812406698
addax nasomaculatus,no_info,11.434963923500517,5.288267030694535,6.970730078143525,,3.332204510175204,6.970730078143525,2.0919274482876835
aepyceros melampus,no_info,10.868568448579715,5.117993812416755,6.1224928095143865,5.978885764901122,3.242592351485517,6.050689287207755,1.8660036882020568
alcelaphus buselaphus,no_info,11.976659481202368,5.262690188904886,6.593044534142437,,3.1135153092103742,6.593044534142437,2.1175564849926864
ammodorcas clarkei,no_info,10.325481962595504,,,,,,
ammotragus lervia,no_info,11.434963923500517,4.804021044733257,5.814130531825066,,3.077312260546414,5.814130531825066,1.8893534485813595
antidorcas marsupialis,no_info,10.571316925111784,4.795790545596741,5.3612921657094255,5.991464547107982,2.9856819377004897,5.676378356408703,1.9011999519213798
antilope cervicapra,no_info,10.532096211958502,4.0943445622221,6.144185634125646,,3.173878458937465,6.144185634125646,1.9358604034833031
beatragus hunteri,no_info,11.976659481202368,,6.480044561926653,7.15305163493748,,6.816548098432067,
bison bison,no_info,13.353475098367715,5.556828061699537,6.815639990074331,6.815639990074331,3.5115454388310208,6.815639990074331,1.940923194302515
bison bonasus,no_info,13.321214236149494,5.3612921657094255,6.593044534142437,6.593044534142437,3.2733640101522705,6.593044534142437,2.01414951520645
bos frontalis,no_info,13.623138665316818,4.919980925828125,6.380122536899765,6.309918278226516,3.265759410767051,6.3450204075631405,1.9428927883186724
bos grunniens,no_info,13.410545324897761,5.429345628954441,6.6039438246004725,6.6039438246004725,3.269568939183719,6.6039438246004725,2.019820945035407
bos javanicus,no_info,13.458835614025542,5.717027701406222,6.593044534142437,,3.299533727885655,6.593044534142437,1.998174614316571
bos sauveli,no_info,13.592367006650065,,6.626717749249025,,,6.626717749249025,
bos taurus,no,13.527828485512494,,6.306275286948016,5.8998973535824915,2.995732273553991,6.103086320265254,2.0372602632560515
boselaphus tragocamelus,no_info,12.100712129872347,,6.703188113240863,,3.077312260546414,6.703188113240863,2.178260620211038
bubalus bubalis,no_info,13.493926933836812,,6.218600119691729,,3.5524868292083815,6.218600119691729,1.7504920971311386
bubalus depressicornis,no_info,11.951180395901384,,6.593044534142437,6.593044534142437,3.586292865338835,6.593044534142437,1.838401040211623
bubalus mindorensis,no_info,12.388394202324129,,6.626717749249025,,,6.626717749249025,
bubalus quarlesi,no_info,11.918390573078392,,6.626717749249025,,3.374168709274236,6.626717749249025,1.9639556644084917
budorcas taxicolor,no_info,12.100712129872347,,6.593044534142437,6.593044534142437,3.086486636822455,6.593044534142437,2.1361001390662073
capra caucasica,no_info,11.156250521031495,,6.7912214627261855,6.98933526597456,2.9601050959108397,6.890278364350372,2.3277140983503486
capra falconeri,no_info,10.621327345686446,5.117993812416755,6.61338421837956,,2.9496883350525844,6.61338421837956,2.2420620306862564
capra hircus,no_info,11.018629143155449,,6.0063531596017325,6.529418838262226,3.0349529867072724,6.267885998931979,2.065233308846813
capra ibex,no_info,11.320553572322773,5.6131281063880705,6.680854678790215,7.135687347028144,3.044522437723423,6.9082710129091796,2.2690819838644116
capra nubiana,no_info,10.741816742940571,,6.706862336602747,7.135687347028144,3.109060958860994,6.921274841815445,2.2261624758721545
capra pyrenaica,no_info,10.959540226785442,,6.306275286948016,6.999422467507961,,6.652848877227989,
capra sibirica,no_info,11.77528972943772,,6.680854678790215,7.340186835320115,3.104586678466073,7.010520757055165,2.25811725782414
capricornis crispus,no_info,11.289781913656018,,6.9985096422506015,6.9985096422506015,3.1780538303479458,6.9985096422506015,2.202136910149309
capricornis sumatraensis,no_info,11.461632170582678,,6.815639990074331,6.911747300251674,2.917770732084279,6.863693645163003,2.3523759319704998
cephalophus dorsalis,no_info,9.358760377094455,,6.359573868672378,,2.8622008809294686,6.359573868672378,2.221917375207842
cephalophus jentinki,no_info,11.156254806736598,,,,3.044522437723423,,
cephalophus natalensis,no_info,9.210340371976184,,,,2.7212954278522306,,
cephalophus niger,no_info,9.803667217253917,,,,2.6946271807700692,,
cephalophus nigrifrons,no_info,9.539644119118783,,,,2.884800712846709,,
cephalophus rufilatus,no_info,9.472704636443673,,5.598421958998375,5.598421958998375,2.7212954278522306,5.598421958998375,2.057263574435541
cephalophus silvicultor,no_info,11.03488966402723,3.6375861597263857,,,3.1135153092103742,,
cephalophus weynsi,no_info,9.210340371976184,,,,2.7212954278522306,,
cephalophus zebra,no_info,9.769961874180993,,,,,,
