Group,Species number,Genus_species,Allonursing,"Communal nesting, babysitting, retrieval",Protection,provisioning_Male,provisioning_others,carryng_Male ,carrying_others,PC1,PC2,Provisioning mothers,Gregariousness,Diet,Activity,Substrate,Body mass [g],Brain size [g or cc],Fertility [offspring per year],Gestation length [d],Weaning age [d],Age at first reproduction [y],Maximum lifespan [y],Remarks
Primates,290,Colobus_guereza,0,1,0.5,0,0,0,0.55,1.738,-1.871,,2,4,2,4,7506,69.8,0.58,158,334,4.75,35.2,29.7 infant transfers
Primates,291,Colobus_polykomos,0,1,0.5,0,0,0,0.52,1.653,-1.750,,2,4,2,4,8300,70.2,0.55,170,365,5.5,33.9,"22.2 infant transfers, males and females share infant care (Hill 1964), baby being handled oacaasionally by the male"
Primates,251,Callithrix_pygmaea,0,1,1,1,1,0.5,0.4,4.652,-1.848,,2,3,2,4,110,4,4.2,142,91,1.9,18.6,
Primates,249,Callithrix_jacchus,0,1,1,1,1,0.5,0.4,4.652,-1.848,,2,3,2,4,320,7.2,4.04,144,77,1.67,22.8,
Primates,250,Callithrix_penicillata,0,1,1,1,1,0.5,0.4,4.652,-1.848,,2,3,2,4,328,7.3,,,,,15.4,
Primates,248,Callithrix_argentata,0,1,1,1,1,0.5,0.4,4.652,-1.848,,2,3,2,4,345,8,3.43,144,120,1.67,16.5,
Primates,253,Saguinus_fuscicollis,0,1,1,0.75,0.75,0.5,0.4,4.133,-2.033,,2,3,2,4,401,7.9,2.5,147,91,1.92,24.9,
Primates,257,Saguinus_oedipus,0,1,1,0.75,0.75,0.5,0.4,4.133,-2.033,,2,3,2,4,431,9.8,3.28,160,76,1.89,26.2,
Primates,256,Saguinus_nigricollis,0,1,1,0.75,0.75,0.5,0.4,4.133,-2.033,,2,3,2,4,476,8.9,2.57,140,81.3,2.33,20.2,
Primates,254,Saguinus_geoffroyi,0,1,1,0.75,0.75,0.5,0.4,4.133,-2.033,,2,3,2,4,517,10.1,3.03,142,75,2,20.5,
Primates,255,Saguinus_mystax,0,1,1,0.75,0.75,0.5,0.4,4.133,-2.033,,2,3,2,4,584,11.1,2.08,145,,1.33,20,
Primates,252,Leontopithecus_rosalia,0,1,1,1,1,0.5,0.4,4.652,-1.848,,2,3,2,4,609,12.8,2.35,125,91,3.6,31.6,
Primates,296,Semnopithecus_hypoleucos,0.1,0,0.5,0,0,0,0.332,0.646,-0.451,,2,4,2,3,10130,88.3,0.37,212,759.4,6.7,,carrying by mostly subadult females
Primates,261,Saimiri_sciureus,0,0,0.5,0,0,0,0.3,0.573,-1.454,,2,3,2,4,742,24,0.85,171,183,3.86,30.3,"carrying by mostly subadult females (no neonates, one month at least), 43.4 infant transfers"
Primates,247,Callimico_goeldii,0,1,1,1,1,0.4,0.25,4.028,-0.948,,2,3,2,4,484,11.4,1.17,148.5,67,1.49,22.2,
Primates,271,Cercopithecus_lowei,0,0.5,0.5,0,0,0,0.25,0.661,-0.958,,2,3,2,4,2097,51.2,,,,,30,"aunts carry (Bourliere et al. 1970), but amount not specified"
Primates,292,Nasalis_larvatus,0,0,0.5,0,0,0,0.25,0.432,-1.253,,2,4,2,4,9730,83.8,0.68,166,281,4.5,25.1,"0.3 infant transfers, infants close to mother for 1 year (Rajanathan and Bennett 1990)"
Primates,285,Papio_anubis,0,0.5,0.5,0,0,0.1,0.25,0.861,-1.254,,2,3,2,3,13300,152.4,0.47,180,420,6.92,31.6,"carrying by mostly subadult females (no neonates, one month at least), 0.8 infant transfers"
Primates,317,Propithecus_edwardsi,0.05,0.5,0.5,0,0,0,0.25,0.652,-0.392,,2,2,2,4,5682,39.5,0.67,179,365,,,3-9 group members
Primates,258,Cebus_apella,0.25,0,0.5,0.5,0.5,0.1,0.25,1.624,1.651,,2,3,2,4,2489,64.3,0.62,152,265,6.67,46,0 infant transfers
Primates,275,Chlorocebus_aethiops,0.1,0.5,0.5,0,0,0,0.196,0.491,0.392,,2,3,2,3,3039,59,0.7,163,259,5.06,30.8,"adult and subadult females carry offspring of high ranking mothers (relatives preferred), very young infants preferred (Whitten 1984), 2.7 infant transfers"
Primates,240,Alouatta_palliata,0.1,0,0.5,0,0,0.05,0.11,0.119,0.295,,2,2,2,4,5350,48,0.6,186,365,4,24,
Primates,260,Cebus_olivaceus,0.18,0,0.5,0.5,0.5,0.1,0.11,1.241,1.423,,2,3,2,4,2633,68.4,0.46,160,547,6,47,"carrying by other adult females and older related juveniles (no neonates, one month at least)"
Primates,262,Callicebus_cupreus,0,1,1,0.5,0.05,0.853,0.103,2.989,-2.329,,1.5,3,2,4,815,17.1,1,128.6,140,5,26.4,offspring leaves family with 2-3y
Primates,276,Erythrocebus_patas,0.1,0.5,0.5,0,0,0,0.103,0.228,0.766,,2,2,2,3,6500,88.9,0.94,167,228,3.04,28.3,0.5 infant transfers
Primates,325,Galago_senegalensis,0,0.5,0.5,0,0,0,0.1,0.238,-0.354,,2,3,1,4,194,4,3.1,141,84,1.64,17.1,"sleep in group, closely related females with offspring"
Primates,237,Aotus_lemurinus,0,1,1,0.75,0.1,0.85,0.1,3.274,-2.240,,1.5,3,1,4,716,16.3,,133,75,,33.8,
Primates,236,Aotus_trivirgatus,0,1,1,0.75,0.1,0.85,0.1,3.274,-2.240,,1.5,3,1,4,933,16.1,1.33,133,76,4,30.1,33.5 infant transfers; immatures stay with group till 3-4y (sexmat)
Primates,321,Eulemur_rubriventer,0,1,1,0,0,0.25,0.1,1.231,-0.640,,1.5,2,1,4,1960,26.2,,123,135,1.55,20,"male carries (Nekaris 2003); 2-6, family with offspring, very rarely with several adults in group"
Primates,318,Propithecus_verreauxi,0,0.5,0.5,0,0,0.1,0.1,0.437,-0.650,,2,2,2,4,2955,26.2,0.59,159,183,6,30.5,males only contact and groom (Jolly 1966)
Primates,323,Lemur_catta,0.1,1,1,0,0,0,0.1,0.714,1.232,,2,2,2,4,2210,22.9,1.01,136,179,3,37.3,allocare by other adult females
Primates,324,Varecia_variegata,0.1,1,1,0,0,0,0.1,0.714,1.232,,1.5,2,2,4,3575,32.1,2.16,102,146,2.72,36,"infant stashing, males guard and huddle with infants, allonursing; pairs with offspring, 2-5, sometimes larger groups"
Primates,238,Alouatta_caraya,0.1,0,0.5,0,0,0.1,0.1,0.190,0.188,,2,2,2,4,4240,47.8,1.1,187,325,3.71,32.4,
Primates,259,Cebus_capucinus,0.25,0,0.5,0.5,0.5,0.1,0.1,1.200,2.255,,2,3,2,4,2436,72.1,0.44,161,517,6,54,allonursing mainly by low ranking females
